year,month,month_name,week,district,current_price,previous_week_price,previous_month_price,previous_year_price,change_previous_week,change_previous_month,change_previous_year
2026,2,February,1,Villupuram,3099.14,3057.23,3721.22,4781.77,0.014,-0.167,-0.352
2026,2,February,1,Virudhunagar,3092.14,3259.99,3710.13,4371.67,-0.052,-0.167,-0.293
2026,2,February,2,Ariyalur,2315.8,2358.03,2828.46,4596.77,-0.018,-0.181,-0.496
2026,2,February,2,Chengalpattu,3017.48,3105.4,3476.57,4563.47,-0.028,-0.132,-0.339
2026,2,February,2,Coimbatore,2312.31,2250.44,2640.77,4003.76,0.028,-0.124,-0.422
2026,2,February,2,Cuddalore,2791.81,2791.68,3079.39,4534.92,,-0.093,-0.384
2026,2,February,2,Dharmapuri,2478.94,2603.01,3209.46,4450.03,-0.048,-0.228,-0.443
2026,2,February,2,Dindigul,2737.56,2827.88,3547.69,4516.99,-0.032,-0.228,-0.394
2026,2,February,2,Erode,3075.48,3157.12,3486.43,4429.42,-0.026,-0.118,-0.306
2026,2,February,2,Kallakuruchi,3655.56,3662.06,4000.0,5000.0,-0.002,-0.086,-0.269
2026,2,February,2,Kancheepuram,2693.41,2920.43,3159.24,4301.99,-0.078,-0.148,-0.374
2026,2,February,2,Karur,2894.38,3154.89,3538.16,4798.17,-0.083,-0.182,-0.397
2026,2,February,2,Krishnagiri,2694.29,2719.31,3106.7,4045.36,-0.009,-0.133,-0.334
2026,2,February,2,Madurai,2678.23,2761.44,3670.53,4807.61,-0.03,-0.27,-0.443
2026,2,February,2,Nagapattinam,2751.71,2673.7,2745.72,3990.36,0.029,0.002,-0.31
2026,2,February,2,Nagercoil (Kannyiakumari),3250.0,3848.24,4277.33,4548.43,-0.156,-0.24,-0.286
2026,2,February,2,Namakkal,2757.92,3008.37,3318.08,4465.78,-0.083,-0.169,-0.382
2026,2,February,2,Perambalur,3157.14,3175.41,3589.58,4691.76,-0.006,-0.121,-0.327
2026,2,February,2,Pudukkottai,3300.86,3446.64,3940.79,4932.28,-0.042,-0.162,-0.331
2026,2,February,2,Ramanathapuram,3022.81,3225.61,3649.52,5000.0,-0.063,-0.172,-0.395
2026,2,February,2,Ranipet,2743.39,2882.39,3046.7,4428.99,-0.048,-0.1,-0.381
2026,2,February,2,Salem,3053.91,3171.1,3790.71,5040.47,-0.037,-0.194,-0.394
2026,2,February,2,Sivaganga,2920.24,3025.73,3950.18,5118.86,-0.035,-0.261,-0.43
2026,2,February,2,Tenkasi,3110.64,3069.14,3623.2,4450.92,0.014,-0.142,-0.301
2026,2,February,2,Thanjavur,3009.42,3299.49,3687.33,4676.2,-0.088,-0.184,-0.356
2026,2,February,2,The Nilgiris,2758.6,2916.97,3463.82,4645.88,-0.054,-0.204,-0.406
2026,2,February,2,Theni,2603.21,2802.17,3126.5,4280.37,-0.071,-0.167,-0.392
2026,2,February,2,Thiruchirappalli,3269.9,3349.44,3467.84,4913.48,-0.024,-0.057,-0.335
2026,2,February,2,Thirunelveli,2610.73,2676.96,3198.51,4117.16,-0.025,-0.184,-0.366
2026,2,February,2,Thirupathur,2850.81,2891.56,3003.7,4000.0,-0.014,-0.051,-0.287
2026,2,February,2,Thirupur,2605.42,2612.68,2818.81,4131.21,-0.003,-0.076,-0.369
2026,2,February,2,Thiruvannamalai,2692.32,2823.45,3068.84,4310.87,-0.046,-0.123,-0.375
2026,2,February,2,Thiruvarur,3372.93,3524.14,3360.99,5230.07,-0.043,0.004,-0.355
2026,2,February,2,Thiruvellore,2938.98,2915.32,3000.0,4505.76,0.008,-0.02,-0.348
2026,2,February,2,Tuticorin,3045.69,3407.92,3515.0,4908.96,-0.106,-0.133,-0.38
2026,2,February,2,Vellore,2764.51,2881.38,3078.66,4019.13,-0.041,-0.102,-0.312
2026,2,February,2,Villupuram,3019.0,3099.14,3166.73,4735.94,-0.026,-0.047,-0.362
2026,2,February,2,Virudhunagar,2828.53,3092.14,3362.87,4377.42,-0.085,-0.159,-0.354
2026,2,February,3,Ariyalur,2899.34,2315.8,2766.89,4496.42,0.252,0.048,-0.355
2026,2,February,3,Chengalpattu,2815.6,3017.48,3499.1,4661.1,-0.067,-0.195,-0.396
2026,2,February,3,Coimbatore,2296.82,2312.31,2591.77,4264.48,-0.007,-0.114,-0.461
2026,2,February,3,Cuddalore,2645.54,2791.81,2950.21,4413.89,-0.052,-0.103,-0.401
2026,2,February,3,Dharmapuri,2525.9,2478.94,2975.43,4721.18,0.019,-0.151,-0.465
2026,2,February,3,Dindigul,2646.01,2737.56,3335.92,4851.15,-0.033,-0.207,-0.455
2026,2,February,3,Erode,3069.44,3075.48,3428.9,4658.24,-0.002,-0.105,-0.341
2026,2,February,3,Kallakuruchi,3661.46,3655.56,4000.0,5303.32,0.002,-0.085,-0.31
2026,2,February,3,Kancheepuram,2728.83,2693.41,3236.12,4402.46,0.013,-0.157,-0.38
2026,2,February,3,Karur,2891.91,2894.38,3460.9,5000.0,-0.001,-0.164,-0.422
2026,2,February,3,Krishnagiri,2628.39,2694.29,3055.39,4805.95,-0.025,-0.14,-0.453
2026,2,February,3,Madurai,2716.13,2678.23,3730.06,5047.01,0.014,-0.272,-0.462
2026,2,February,3,Nagapattinam,2816.8,2751.71,2740.51,4095.55,0.024,0.028,-0.312
2026,2,February,3,Nagercoil (Kannyiakumari),3196.01,3250.0,3979.39,4717.29,-0.017,-0.197,-0.322
2026,2,February,3,Namakkal,2746.02,2757.92,3389.87,4683.98,-0.004,-0.19,-0.414
2026,2,February,3,Perambalur,3151.26,3157.14,3519.6,4847.46,-0.002,-0.105,-0.35
2026,2,February,3,Pudukkottai,3119.86,3300.86,3755.07,4760.89,-0.055,-0.169,-0.345
2026,2,February,3,Ramanathapuram,2837.31,3022.81,3492.89,5039.34,-0.061,-0.188,-0.437
2026,2,February,3,Ranipet,2473.52,2743.39,3003.64,4500.0,-0.098,-0.176,-0.45
2026,2,February,3,Salem,2891.17,3053.91,3545.2,5426.13,-0.053,-0.184,-0.467
2026,2,February,3,Sivaganga,2978.76,2920.24,4008.74,5184.14,0.02,-0.257,-0.425
2026,2,February,3,Tenkasi,3159.88,3110.64,3728.85,4448.72,0.016,-0.153,-0.29
2026,2,February,3,Thanjavur,2888.06,3009.42,3631.07,4716.4,-0.04,-0.205,-0.388
2026,2,February,3,The Nilgiris,2771.73,2758.6,3203.18,5163.87,0.005,-0.135,-0.463
2026,2,February,3,Theni,2668.18,2603.21,3223.98,4442.41,0.025,-0.172,-0.399
2026,2,February,3,Thiruchirappalli,3294.42,3269.9,3261.74,5129.65,0.008,0.01,-0.358
2026,2,February,3,Thirunelveli,2579.08,2610.73,3030.86,4307.3,-0.012,-0.149,-0.401
2026,2,February,3,Thirupathur,2610.56,2850.81,2750.0,4401.63,-0.084,-0.051,-0.407
2026,2,February,3,Thirupur,2598.8,2605.42,2747.08,4365.19,-0.002,-0.054,-0.405
2026,2,February,3,Thiruvannamalai,2485.25,2692.32,2873.08,4607.92,-0.077,-0.135,-0.461
2026,2,February,3,Thiruvarur,3419.75,3372.93,3545.06,5304.82,0.014,-0.035,-0.355
2026,2,February,3,Thiruvellore,2903.35,2938.98,3041.82,4253.08,-0.012,-0.045,-0.317
2026,2,February,3,Tuticorin,2794.05,3045.69,3813.52,4923.43,-0.083,-0.267,-0.432
2026,2,February,3,Vellore,2728.69,2764.51,2987.0,4357.23,-0.013,-0.087,-0.374
2026,2,February,3,Villupuram,2994.54,3019.0,3149.89,4716.94,-0.008,-0.049,-0.365
2026,2,February,3,Virudhunagar,3089.94,2828.53,3279.29,4394.8,0.092,-0.058,-0.297
2026,2,February,4,Ariyalur,2396.67,2899.34,2504.48,4194.78,-0.173,-0.043,-0.429
2026,2,February,4,Chengalpattu,2757.31,2815.6,3496.45,4500.69,-0.021,-0.211,-0.387
2026,2,February,4,Coimbatore,2263.73,2296.82,2598.3,3854.54,-0.014,-0.129,-0.413
2026,2,February,4,Cuddalore,2598.52,2645.54,2844.43,4459.33,-0.018,-0.087,-0.417
2026,2,February,4,Dharmapuri,2510.6,2525.9,2902.8,4382.78,-0.006,-0.135,-0.427
2026,2,February,4,Dindigul,2689.17,2646.01,2854.76,4446.25,0.016,-0.058,-0.395
2026,2,February,4,Erode,2970.09,3069.44,3351.13,4611.25,-0.032,-0.114,-0.356
2026,2,February,4,Kallakuruchi,3663.93,3661.46,3679.65,5000.0,0.001,-0.004,-0.267
2026,2,February,4,Kancheepuram,2644.9,2728.83,2867.24,4533.41,-0.031,-0.078,-0.417
2026,2,February,4,Karur,2888.78,2891.91,3486.37,4897.87,-0.001,-0.171,-0.41
2026,2,February,4,Krishnagiri,2292.71,2628.39,2971.3,4389.74,-0.128,-0.228,-0.478
2026,2,February,4,Madurai,2649.45,2716.13,3383.79,4671.33,-0.025,-0.217,-0.433
2026,2,February,4,Nagapattinam,2766.06,2816.8,2668.97,4053.62,-0.018,0.036,-0.318
2026,2,February,4,Nagercoil (Kannyiakumari),3216.33,3196.01,3770.85,4888.69,0.006,-0.147,-0.342
2026,2,February,4,Namakkal,2760.87,2746.02,3297.42,4360.0,0.005,-0.163,-0.367
2026,2,February,4,Perambalur,3101.39,3151.26,3431.52,4558.9,-0.016,-0.096,-0.32
2026,2,February,4,Pudukkottai,3237.04,3119.86,3466.36,4748.97,0.038,-0.066,-0.318
2026,2,February,4,Ramanathapuram,2759.91,2837.31,3638.92,4825.52,-0.027,-0.242,-0.428
2026,2,February,4,Ranipet,2398.41,2473.52,2985.65,4469.75,-0.03,-0.197,-0.463
